epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,18079,1.07298,1.1747,0.02204,0.82568,0.73847,0.79616,0.59152,1.13373,0.97284,0.02515,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
57,18396.5,1.06196,1.16091,0.02166,0.81131,0.74587,0.79378,0.59029,1.13285,0.97577,0.02511,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359
58,18716.6,1.06984,1.17485,0.02183,0.83317,0.73142,0.79254,0.58901,1.13171,0.97148,0.0251,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085
59,19030.2,1.0669,1.15634,0.02189,0.84689,0.72442,0.79159,0.58898,1.1335,0.96525,0.02516,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805
60,19347.5,1.06822,1.1644,0.02184,0.85084,0.72632,0.79179,0.58906,1.13626,0.96218,0.02528,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521
61,19664.7,1.07284,1.16287,0.02193,0.82742,0.73675,0.7915,0.58804,1.13596,0.95886,0.02527,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
62,19986.4,1.06974,1.16339,0.02188,0.81928,0.74143,0.79861,0.59342,1.13378,0.96574,0.02521,0.0297282,0.00990938,0.0297282,0.00990938,0.0297282,0.00990938,0.0297282,0.00990938
63,20304.4,1.0688,1.15968,0.02189,0.847,0.73129,0.80012,0.59476,1.13389,0.96277,0.02523,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064
64,20625.1,1.06592,1.15292,0.02182,0.83723,0.73332,0.79907,0.59445,1.13017,0.97009,0.02505,0.0297101,0.00990336,0.0297101,0.00990336,0.0297101,0.00990336,0.0297101,0.00990336
65,20942.3,1.06754,1.16449,0.02177,0.81441,0.74671,0.79955,0.59585,1.12926,0.97315,0.025,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028
